id,diet_type,protein,carbs,fat
,paleo,5.22,1.29,3.2
,paleo,181.55,28.62,146.14
,paleo,30.91,302.59,96.76
,paleo,9.62,75.78,59.89
,paleo,39.84,54.08,71.55
,paleo,68.62,34.15,42.44
,paleo,30.03,275.88,97.68
,paleo,4.25,14.15,72.9
,paleo,152.88,1874.52,385.8
,paleo,602.91,274.87,400.01
,paleo,44.62,28.66,78.46
,paleo,61.43,13.29,24.6
,paleo,46.69,192.54,156.48
,paleo,54.09,34.97,14.1
,paleo,51.24,89.63,78.38
,paleo,64.29,263.65,176.36
,paleo,320.76,28.36,252.82
,paleo,46.92,39.94,19.6
,paleo,185.99,47.82,260.64
,paleo,15.73,15.91,49.16
,paleo,59.86,567.39,320.76
,paleo,82.1,4.75,20.24
,paleo,54.7,503.39,320.12
,paleo,167.07,55.11,210.14
,paleo,78.59,290.1,84.95
,paleo,28.67,64.13,37.71
,paleo,12.16,85.78,2.91
,paleo,17.85,215.69,304.25
,paleo,49.84,17.2,75.62
,paleo,78.59,290.1,84.95
,paleo,87.32,258.25,259.21
,paleo,44.05,429.69,162.78
,paleo,16.48,32.46,91.36
,paleo,15.5,12.78,23.29
,paleo,16.11,236.88,3.86
,paleo,39.73,169.01,117.95
,paleo,82.45,271.48,204.91
,paleo,14.19,85.18,150.26
,paleo,27.38,9.57,61.87
,paleo,39.58,126.88,97.83
,paleo,36.27,182.51,105.1
,paleo,87.32,258.25,259.24
,paleo,27.17,116.73,125.14
,paleo,85.97,271.68,207.57
,paleo,193.11,83.93,227.24
,paleo,123.47,75.65,235.87
,paleo,37.54,56.92,53.88
,paleo,7.27,112.19,269.91
,paleo,172.17,186.26,467.17
,paleo,20.15,24.96,111.99
,paleo,189.35,143.25,300.66
,paleo,56.39,43.01,143.87
,paleo,10.48,19.56,12.5
,paleo,83.82,384.27,324.34
,paleo,118.36,6.54,61.57
,paleo,9.91,99.09,110.51
,paleo,46.07,261.6,147.5
,paleo,60.19,112.58,52.61
,paleo,68.21,199.96,161.13
,paleo,32.45,24.27,31.05
,paleo,90.83,258.46,261.91
,paleo,49,412.09,116.03
,paleo,161.95,1.17,160.83
,paleo,20.23,126.01,153.36
,paleo,88.79,32.66,55.58
,paleo,9.65,42.63,83.92
,paleo,80.95,6.34,113.98
,paleo,123.17,61.52,107.7
,paleo,47.89,285.93,93.75
,paleo,26.68,80.75,35.37
,paleo,145.6,102.25,144.33
,paleo,100.74,92.07,360.57
,paleo,107.7,68.02,28.69
,paleo,65.19,17.09,69.97
,paleo,102.5,38.41,98.85
,paleo,268.92,128.88,334.28
,paleo,21.03,25.01,112.66
,paleo,189.35,143.25,300.66
,paleo,71.11,159.31,147.25
,paleo,10.16,105.7,110.51
,paleo,46.07,261.6,147.5
,paleo,43.97,104.37,160.83
,paleo,3.76,23.94,80.65
,paleo,210.45,139.56,272.52
,paleo,362.76,16.83,64.04
,paleo,258.66,55.59,103.91
,paleo,197.94,70.1,110.07
,paleo,128.54,366.81,166.72
,paleo,23.56,39.05,42.25
,paleo,2.81,1.11,112.61
,paleo,10.73,15.5,49.29
,paleo,141.27,55.82,198.73
,paleo,98.56,191.3,176.93
,paleo,26.68,80.75,35.37
,paleo,121.84,413.93,317.39
,paleo,28.76,50.01,48.09
,paleo,200.82,153.82,102.62
,paleo,9.82,214.27,3.04
,paleo,150.18,41.36,123.75
,paleo,244.29,69.44,249.9
,paleo,32.24,250.87,139.25
,paleo,31.23,74.97,116.67
,paleo,155.95,49.31,150.25
,paleo,32.32,157.39,194.11
,paleo,430.2,138.37,178.17
,paleo,1273.61,83.34,1608.54
,paleo,32.75,22.67,2.45
,paleo,36,142.79,107.74
,paleo,128.33,154.22,125.77
,paleo,65.78,96.23,130.86
,paleo,152.56,53.59,205.36
,paleo,283.7,78.55,252.1
,paleo,6.45,66.8,42.58
,paleo,104.17,82.97,64.82
,paleo,12.77,112.92,56.84
,paleo,73.83,185.59,307.46
,paleo,197.91,312.15,371.5
,paleo,102.47,51.64,54.82
,paleo,14.26,79.07,109.53
,paleo,7.68,89.2,14.38
,paleo,4.4,56.19,28.84
,paleo,3.34,48.53,13.6
,paleo,213.63,149.66,298.56
,paleo,135.99,193.85,232.95
,paleo,12.21,151.95,98.75
,paleo,62.76,194.9,266.67
,paleo,86.31,11.17,66.45
,paleo,86.07,84.94,43.04
,paleo,35.36,6.76,133.82
,paleo,283.65,89.99,306.29
,paleo,39.32,88.7,50.97
,paleo,19.18,134,138.71
,paleo,122.69,96.81,51.15
,paleo,32.41,17.25,24.49
,paleo,122.78,147.94,51.84
,paleo,107.67,31.95,70.25
,paleo,46.62,82.76,53.47
,paleo,121.29,69.51,49.55
,paleo,68.73,266.84,183.04
,paleo,0.32,6.54,11.65
,paleo,4.94,33.55,1.11
,paleo,97.78,239.78,356.65
,paleo,41.9,64.07,37.95
,paleo,9.95,64.53,19.56
,paleo,97.94,217.78,168.32
,paleo,133.92,12.88,92.88
,paleo,55.09,283.94,5.02
,paleo,69.61,44.66,128.44
,paleo,349.89,10.57,130.34
,paleo,36.98,40.42,58.68
,paleo,92.67,357.52,68.86
,paleo,191.06,25.06,137.85
,paleo,35.81,127.03,62.87
,paleo,242.69,59.62,607.18
,paleo,72.45,479.49,468.3
,paleo,118.65,300,107.45
,paleo,392.64,12.51,472.92
,paleo,66.67,180.22,111.67
,paleo,68.86,309.13,384.74
,paleo,22.61,68.6,103.89
,paleo,9.39,47.36,10.47
,paleo,32.24,221.1,103.54
,paleo,145.56,240.17,89.14
,paleo,5.6,46.5,18.34
,paleo,211.11,94.79,61.46
,paleo,39.45,285.88,109.49
,paleo,65.92,455.58,158.29
,paleo,0.93,3.08,24.31
,paleo,16.71,28.5,15.85
,paleo,7.86,186.18,30.1
,paleo,176.97,10.7,206.48
,paleo,18.72,68.14,54.08
,paleo,69.56,157.94,257.36
,paleo,216.95,203.73,178.18
,paleo,156.83,88.03,167.6
,paleo,6.76,17.01,89.82
,paleo,54.96,208.13,49.2
,paleo,32.74,3.08,69.22
,paleo,30.23,191.35,235.63
,paleo,2.14,15.79,116.27
,paleo,159.24,75.82,62.53
,paleo,368.04,500.49,210.84
,paleo,2.82,17.07,13.93
,paleo,105.25,594.23,700.42
,paleo,52.93,75.7,131.7
,paleo,170.21,136.35,196.93
,paleo,22.75,124.99,146.91
,paleo,42.18,245.32,90.32
,paleo,87.75,10.06,163.03
,paleo,57.04,62.66,77.65
